id,name.local,name.en,name.slug,code.id,children_count.town,geo.lat,geo.lon
GH0401,Atebubu Amantin,Atebubu Amantin,atebubu-amantin-gh0401,GH0401,4,7.729,-1.096
GH0402,Kintampo North Municipal,Kintampo North Municipal,kintampo-north-municipal-gh0402,GH0402,5,8.386,-1.578
GH0403,Kintampo South,Kintampo South,kintampo-south-gh0403,GH0403,4,7.942,-1.734
GH0404,Nkoranza North,Nkoranza North,nkoranza-north-gh0404,GH0404,3,7.72,-1.643
GH0405,Nkoranza South,Nkoranza South,nkoranza-south-gh0405,GH0405,7,7.452,-1.677
GH0406,Pru East,Pru East,pru-east-gh0406,GH0406,3,8.137,-0.812
GH0407,Pru West,Pru West,pru-west-gh0407,GH0407,1,8.038,-1.31
GH0408,Sene East,Sene East,sene-east-gh0408,GH0408,3,7.669,-0.209
GH0409,Sene West,Sene West,sene-west-gh0409,GH0409,4,7.749,-0.618
GH0410,Techiman Municipal,Techiman Municipal,techiman-municipal-gh0410,GH0410,12,7.526,-1.974
GH0411,Techiman North,Techiman North,techiman-north-gh0411,GH0411,1,7.702,-1.984
