id,name.local,name.en,name.slug,code.id,children_count.town,geo.lat,geo.lon
GH1301,Daffiama Bussie Issa,Daffiama Bussie Issa,daffiama-bussie-issa-gh1301,GH1301,6,10.367,-2.262
GH1302,Jirapa,Jirapa,jirapa-gh1302,GH1302,15,10.588,-2.562
GH1303,Lambussie-Karni,Lambussie-Karni,lambussie-karni-gh1303,GH1303,4,10.839,-2.583
GH1304,Lawra,Lawra,lawra-gh1304,GH1304,15,10.62,-2.851
GH1305,Nadowli-Kaleo,Nadowli-Kaleo,nadowli-kaleo-gh1305,GH1305,13,10.286,-2.638
GH1306,Nandom,Nandom,nandom-gh1306,GH1306,2,10.867,-2.8
GH1307,Sissala East,Sissala East,sissala-east-gh1307,GH1307,8,10.607,-1.853
GH1308,Sissala West,Sissala West,sissala-west-gh1308,GH1308,4,10.759,-2.305
GH1309,Wa East,Wa East,wa-east-gh1309,GH1309,11,10.086,-1.976
GH1310,Wa Municipal,Wa Municipal,wa-municipal-gh1310,GH1310,19,10.038,-2.465
GH1311,Wa West,Wa West,wa-west-gh1311,GH1311,12,9.918,-2.608
