# Data from Open Admin Data (https://openadmindata.org/gh/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/ghana-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.district,children_count.town,zip_codes,geo.lat,geo.lon,source_url
GH01,1,Region,Region,Ahafo,Ahafo,ahafo-gh01,GH01,,,,,,6,34,,6.874,-2.618,https://openadmindata.org/gh/regions/ahafo-gh01/
GH0101,2,District,District,Asunafo North Municipal,Asunafo North Municipal,asunafo-north-municipal-gh0101,GH0101,,GH01,Ahafo,Ahafo,,,9,,6.814,-2.681,
GH0102,2,District,District,Asunafo South,Asunafo South,asunafo-south-gh0102,GH0102,,GH01,Ahafo,Ahafo,,,7,,6.56,-2.532,
GH0103,2,District,District,Asutifi North,Asutifi North,asutifi-north-gh0103,GH0103,,GH01,Ahafo,Ahafo,,,2,,7.076,-2.527,
GH0104,2,District,District,Asutifi South,Asutifi South,asutifi-south-gh0104,GH0104,,GH01,Ahafo,Ahafo,,,5,,6.85,-2.461,
GH0105,2,District,District,Tano North Municipal,Tano North Municipal,tano-north-municipal-gh0105,GH0105,,GH01,Ahafo,Ahafo,,,6,,7.195,-2.208,
GH0106,2,District,District,Tano South Municipal,Tano South Municipal,tano-south-municipal-gh0106,GH0106,,GH01,Ahafo,Ahafo,,,5,,7.162,-1.998,
GH02,1,Region,Region,Ashanti,Ashanti,ashanti-gh02,GH02,,,,,,43,389,,6.74,-1.628,https://openadmindata.org/gh/regions/ashanti-gh02/
GH0201,2,District,District,Adansi Akrofuom,Adansi Akrofuom,adansi-akrofuom-gh0201,GH0201,,GH02,Ashanti,Ashanti,,,0,,6.029,-1.673,
GH0202,2,District,District,Adansi Asokwa,Adansi Asokwa,adansi-asokwa-gh0202,GH0202,,GH02,Ashanti,Ashanti,,,0,,6.168,-1.437,
GH0203,2,District,District,Adansi North,Adansi North,adansi-north-gh0203,GH0203,,GH02,Ashanti,Ashanti,,,11,,6.3,-1.589,
GH0204,2,District,District,Adansi South,Adansi South,adansi-south-gh0204,GH0204,,GH02,Ashanti,Ashanti,,,13,,6.003,-1.393,
GH0205,2,District,District,Afigya Kwabre North,Afigya Kwabre North,afigya-kwabre-north-gh0205,GH0205,,GH02,Ashanti,Ashanti,,,3,,7.039,-1.627,
GH0206,2,District,District,Afigya Kwabre South,Afigya Kwabre South,afigya-kwabre-south-gh0206,GH0206,,GH02,Ashanti,Ashanti,,,10,,6.839,-1.609,
GH0207,2,District,District,Ahafo Ano North,Ahafo Ano North,ahafo-ano-north-gh0207,GH0207,,GH02,Ashanti,Ashanti,,,9,,6.91,-2.229,
