id,name.local,name.en,name.slug,code.id,children_count.town,geo.lat,geo.lon
GH1001,Biakoye,Biakoye,biakoye-gh1001,GH1001,0,7.393,0.246
GH1002,Jasikan,Jasikan,jasikan-gh1002,GH1002,18,7.376,0.558
GH1003,Kadjebi,Kadjebi,kadjebi-gh1003,GH1003,11,7.718,0.533
GH1004,Krachi East Municipal,Krachi East Municipal,krachi-east-municipal-gh1004,GH1004,6,7.805,0.264
GH1005,Krachi Nchumuru,Krachi Nchumuru,krachi-nchumuru-gh1005,GH1005,0,8.189,-0.088
GH1006,Krachi West,Krachi West,krachi-west-gh1006,GH1006,10,7.89,-0.036
GH1007,Nkwanta North,Nkwanta North,nkwanta-north-gh1007,GH1007,4,8.551,0.234
GH1008,Nkwanta South Municipal,Nkwanta South Municipal,nkwanta-south-municipal-gh1008,GH1008,9,8.25,0.414
