id,name.local,name.en,name.slug,code.id,children_count.town,geo.lat,geo.lon
GH1601,Aowin,Aowin,aowin-gh1601,GH1601,9,5.695,-2.754
GH1602,Bia East,Bia East,bia-east-gh1602,GH1602,13,6.828,-3.041
GH1603,Bia West,Bia West,bia-west-gh1603,GH1603,14,6.569,-3.066
GH1604,Bibiani-Anhwiaso-Bekwai Municipal,Bibiani-Anhwiaso-Bekwai Municipal,bibiani-anhwiaso-bekwai-municipal-gh1604,GH1604,13,6.294,-2.232
GH1605,Bodi,Bodi,bodi-gh1605,GH1605,8,6.24,-2.855
GH1606,Juaboso,Juaboso,juaboso-gh1606,GH1606,8,6.432,-2.913
GH1607,Sefwi Akontombra,Sefwi Akontombra,sefwi-akontombra-gh1607,GH1607,5,6.094,-2.653
GH1608,Sefwi-Wiawso,Sefwi-Wiawso,sefwi-wiawso-gh1608,GH1608,10,6.307,-2.518
GH1609,Suaman,Suaman,suaman-gh1609,GH1609,5,6.107,-3.008
