id,name.local,name.en,name.slug,code.id,children_count.town,geo.lat,geo.lon
GH1201,Bawku Municipal,Bawku Municipal,bawku-municipal-gh1201,GH1201,19,11.042,-0.237
GH1202,Bawku West,Bawku West,bawku-west-gh1202,GH1202,19,10.843,-0.493
GH1203,Binduri,Binduri,binduri-gh1203,GH1203,0,10.946,-0.302
GH1204,Bolga East,Bolga East,bolga-east-gh1204,GH1204,6,10.803,-0.798
GH1205,Bolgatanga Municipal,Bolgatanga Municipal,bolgatanga-municipal-gh1205,GH1205,20,10.749,-0.933
GH1206,Bongo,Bongo,bongo-gh1206,GH1206,35,10.918,-0.805
GH1207,Builsa North,Builsa North,builsa-north-gh1207,GH1207,7,10.711,-1.258
GH1208,Builsa South,Builsa South,builsa-south-gh1208,GH1208,9,10.532,-1.263
GH1209,Garu,Garu,garu-gh1209,GH1209,8,10.77,-0.223
GH1210,Kasena Nankana East,Kasena Nankana East,kasena-nankana-east-gh1210,GH1210,19,10.749,-1.07
GH1211,Kasena Nankana West,Kasena Nankana West,kasena-nankana-west-gh1211,GH1211,10,10.873,-1.316
GH1212,Nabdam,Nabdam,nabdam-gh1212,GH1212,5,10.847,-0.661
GH1213,Pusiga,Pusiga,pusiga-gh1213,GH1213,0,11.077,-0.092
GH1214,Talensi,Talensi,talensi-gh1214,GH1214,2,10.642,-0.624
GH1215,Tempane,Tempane,tempane-gh1215,GH1215,10,10.901,-0.09
