id,name.local,name.en,name.slug,code.id,children_count.town,geo.lat,geo.lon
GH1401,Adaklu,Adaklu,adaklu-gh1401,GH1401,1,6.442,0.533
GH1402,Afadzato South,Afadzato South,afadzato-south-gh1402,GH1402,0,6.875,0.365
GH1403,Agotime Ziope,Agotime Ziope,agotime-ziope-gh1403,GH1403,7,6.476,0.692
GH1404,Akatsi North,Akatsi North,akatsi-north-gh1404,GH1404,3,6.311,0.877
GH1405,Akatsi South,Akatsi South,akatsi-south-gh1405,GH1405,9,6.153,0.799
GH1406,Anloga,Anloga,anloga-gh1406,GH1406,0,5.825,0.795
GH1407,Central Tongu,Central Tongu,central-tongu-gh1407,GH1407,1,6.165,0.611
GH1408,Ho Municipal,Ho Municipal,ho-municipal-gh1408,GH1408,30,6.675,0.535
GH1409,Ho West,Ho West,ho-west-gh1409,GH1409,0,6.602,0.334
GH1410,Hohoe Municipal,Hohoe Municipal,hohoe-municipal-gh1410,GH1410,31,7.153,0.487
GH1411,Keta Municipal,Keta Municipal,keta-municipal-gh1411,GH1411,19,5.937,0.883
GH1412,Ketu North,Ketu North,ketu-north-gh1412,GH1412,5,6.192,0.978
GH1413,Ketu South,Ketu South,ketu-south-gh1413,GH1413,16,6.08,1.072
GH1414,Kpando Municipal,Kpando Municipal,kpando-municipal-gh1414,GH1414,15,6.999,0.317
GH1415,North Dayi,North Dayi,north-dayi-gh1415,GH1415,0,6.817,0.231
GH1416,North Tongu,North Tongu,north-tongu-gh1416,GH1416,12,6.144,0.297
GH1417,South Dayi,South Dayi,south-dayi-gh1417,GH1417,13,6.544,0.241
GH1418,South Tongu,South Tongu,south-tongu-gh1418,GH1418,11,5.965,0.641
