id,name.local,name.en,name.slug,code.id,children_count.town,geo.lat,geo.lon
GH1501,Ahanta West Municipal,Ahanta West Municipal,ahanta-west-municipal-gh1501,GH1501,10,4.852,-1.987
GH1502,Effia Kwesimintsim Municipal,Effia Kwesimintsim Municipal,effia-kwesimintsim-municipal-gh1502,GH1502,7,4.964,-1.808
GH1503,Ellembelle,Ellembelle,ellembelle-gh1503,GH1503,0,5.15,-2.421
GH1504,Jomoro,Jomoro,jomoro-gh1504,GH1504,16,5.197,-2.614
GH1505,Mpohor,Mpohor,mpohor-gh1505,GH1505,3,5.058,-1.827
GH1506,Nzema East,Nzema East,nzema-east-gh1506,GH1506,10,5.086,-2.222
GH1507,Prestea/Huni Valley,Prestea/Huni Valley,presteahuni-valley-gh1507,GH1507,13,5.447,-2.04
GH1508,Sekondi Takoradi Metropolis,Sekondi Takoradi Metropolis,sekondi-takoradi-metropolis-gh1508,GH1508,31,4.961,-1.733
GH1509,Shama,Shama,shama-gh1509,GH1509,7,5.059,-1.641
GH1510,Tarkwa Nsuaem,Tarkwa Nsuaem,tarkwa-nsuaem-gh1510,GH1510,18,5.138,-2.035
GH1511,Wassa Amenfi Central,Wassa Amenfi Central,wassa-amenfi-central-gh1511,GH1511,0,5.739,-2.26
GH1512,Wassa Amenfi East,Wassa Amenfi East,wassa-amenfi-east-gh1512,GH1512,10,5.878,-1.99
GH1513,Wassa Amenfi West,Wassa Amenfi West,wassa-amenfi-west-gh1513,GH1513,12,5.747,-2.49
GH1514,Wassa East,Wassa East,wassa-east-gh1514,GH1514,7,5.368,-1.622
